Kanji,Reading,Level,English
噛む,かむ,4,to bite
通う,かよう,4,to commute / to attend
ガラス,ガラス,4,glass
彼,かれ,4,he / boyfriend
彼ら,かれら,4,they (male)
乾く,かわく,4,to get dry
代わり,かわり,4,substitute / instead
変わる,かわる,4,to change
考える,かんがえる,4,to think / to consider
関係,かんけい,4,relation / connection
看護婦,かんごふ,4,nurse
簡単,かんたん,4,simple / easy
気,き,4,spirit / mood / attention
機会,きかい,4,opportunity / chance
危険,きけん,4,dangerous / risk
聞こえる,きこえる,4,to be heard
汽車,きしゃ,4,steam train
技術,ぎじゅつ,4,technology / skill
季節,きせつ,4,season
規則,きそく,4,rule / regulation
きっと,きっと,4,surely
絹,きぬ,4,silk
厳しい,きびしい,4,severe / strict
気分,きぶん,4,feeling / mood
決る,きまる,4,to be decided
君,きみ,4,you (male)
決める,きめる,4,to decide
気持ち,きもち,4,feeling / sensation
着物,きもの,4,kimono
客,きゃく,4,guest / customer
急,きゅう,4,sudden / steep / urgent
急行,きゅうこう,4,express train
教育,きょういく,4,education
教会,きょうかい,4,church
競争,きょうそう,4,competition / race
興味,きょうみ,4,interest / curiosity
近所,きんじょ,4,neighborhood
具合,ぐあい,4,condition / state
空気,くうき,4,air / atmosphere
空港,くうこう,4,airport
草,くさ,4,grass / weed
くださる,くださる,4,to give (honorific)
首,くび,4,neck
雲,くも,4,cloud
比べる,くらべる,4,to compare
くれる,くれる,4,to give (to me)
暮れる,くれる,4,to get dark / to end
君,くん,4,Mr. (suffix)
毛,け,4,hair / fur
計画,けいかく,4,plan
経験,けいけん,4,experience
経済,けいざい,4,economy
警察,けいさつ,4,police
ケーキ,ケーキ,4,cake
けが,けが,4,injury
景色,けしき,4,scenery
消しゴム,けしゴム,4,eraser
下宿,げしゅく,4,boarding house
決して,けっして,4,never (with negative)
けれど,けれど,4,however / but
けれども,けれども,4,however / but
原因,げんいん,4,cause / reason
けんか,けんか,4,fight / quarrel
研究,けんきゅう,4,research / study
研究室,けんきゅうしつ,4,laboratory / study room
見物,けんぶつ,4,sightseeing
子,こ,4,child
こう,こう,4,thus / like this
郊外,こうがい,4,suburb
講義,こうぎ,4,lecture
工業,こうぎょう,4,industry
高校,こうこう,4,high school
高校生,こうこうせい,4,high school student
工場,こうじょう,4,factory
校長,こうちょう,4,principal (school)
交通,こうつう,4,traffic
講堂,こうどう,4,auditorium
高等学校,こうとうがっこう,4,high school
公務員,こうむいん,4,civil servant
国際,こくさい,4,international
心,こころ,4,heart / mind
御主人,ごしゅじん,4,your husband / master
故障,こしょう,4,breakdown / trouble
ご存じ,ごぞんじ,4,known (honorific)
答,こたえ,4,answer
ごちそう,ごちそう,4,feast / treat
こと,こと,4,thing / matter
小鳥,ことり,4,small bird
このあいだ,このあいだ,4,the other day
このごろ,このごろ,4,these days / recently
細かい,こまかい,4,small / fine / detailed
ごみ,ごみ,4,trash / garbage
込む,こむ,4,to be crowded
米,こめ,4,rice (uncooked)
ごらんになる,ごらんになる,4,to see (honorific)
これから,これから,4,after this / from now on
怖い,こわい,4,scary / afraid
壊す,こわす,4,to break / to destroy
壊れる,こわれる,4,to be broken
コンサート,コンサート,4,concert
今度,こんど,4,this time / next time
コンピュータ,コンピュータ,4,computer
コンピューター,コンピューター,4,computer
今夜,こんや,4,tonight
最近,さいきん,4,recently
最後,さいご,4,last / end
最初,さいしょ,4,beginning / first
坂,さか,4,slope / hill
探す,さがす,4,to search / to look for
下る,さがる,4,to go down / to descend
盛ん,さかん,4,popular / prosperous
下げる,さげる,4,to lower / to hang
差し上げる,さしあげる,4,to give (humble)
さっき,さっき,4,a while ago
寂しい,さびしい,4,lonely
さ来月,さらいげつ,4,month after next
さ来週,さらいしゅう,4,week after next
サラダ,サラダ,4,salad
騒ぐ,さわぐ,4,to make noise
触る,さわる,4,to touch
産業,さんぎょう,4,industry
サンダル,サンダル,4,sandals
サンドイッチ,サンドイッチ,4,sandwich
残念,ざんねん,4,regrettable / too bad
市,し,4,city
字,じ,4,character / letter
試合,しあい,4,match / game
仕方,しかた,4,way / method
しかる,しかる,4,to scold
試験,しけん,4,exam / test
事故,じこ,4,accident
地震,じしん,4,earthquake
時代,じだい,4,era / period
下着,したぎ,4,underwear
支度,したく,4,preparation
しっかり,しっかり,4,firmly / properly
失敗,しっぱい,4,failure
辞典,じてん,4,dictionary
品物,しなもの,4,goods / article
しばらく,しばらく,4,for a while
島,しま,4,island
市民,しみん,4,citizen
事務所,じむしょ,4,office
社会,しゃかい,4,society
社長,しゃちょう,4,company president
じゃま,じゃま,4,obstacle / disturbance
ジャム,ジャム,4,jam
自由,じゆう,4,freedom
習慣,しゅうかん,4,habit / custom
住所,じゅうしょ,4,address
柔道,じゅうどう,4,judo
十分,じゅうぶん,4,enough / sufficient
出席,しゅっせき,4,attendance
出発,しゅっぱつ,4,departure
趣味,しゅみ,4,hobby
準備,じゅんび,4,preparation
紹介,しょうかい,4,introduction
小学校,しょうがっこう,4,elementary school
小説,しょうせつ,4,novel
招待,しょうたい,4,invitation
承知,しょうち,4,knowledge / consent
将来,しょうらい,4,future
食事,しょくじ,4,meal
食料品,しょくりょうひん,4,groceries
女性,じょせい,4,female / woman
知らせる,しらせる,4,to notify
調べる,しらべる,4,to investigate
人口,じんこう,4,population
神社,じんじゃ,4,Shinto shrine
親切,しんせつ,4,kind / helpful
心配,しんぱい,4,worry / concern
新聞社,しんぶんしゃ,4,newspaper company
水泳,すいえい,4,swimming
水道,すいどう,4,water supply / tap water
ずいぶん,ずいぶん,4,very / quite
数学,すうがく,4,mathematics
スーツ,スーツ,4,suit
スーツケース,スーツケース,4,suitcase
過ぎる,すぎる,4,to pass / to exceed
すく,すく,4,to be empty / to become less
スクリーン,スクリーン,4,screen
凄い,すごい,4,amazing / terrible
進む,すすむ,4,to advance
すっかり,すっかり,4,completely / all
すっと,すっと,4,smoothly / straight
ステーキ,ステーキ,4,steak
捨てる,すてる,4,to throw away
ステレオ,ステレオ,4,stereo
砂,すな,4,sand
すばらしい,すばらしい,4,wonderful
滑る,すべる,4,to slide / to slip
隅,すみ,4,corner
済む,すむ,4,to finish / to be done
すり,すり,4,pickpocket
すると,すると,4,then / thereupon
生活,せいかつ,4,life / living
生産,せいさん,4,production
政治,せいじ,4,politics
西洋,せいよう,4,Western world
世界,せかい,4,world
席,せき,4,seat
説明,せつめい,4,explanation
背中,せなか,4,back (body part)
ぜひ,ぜひ,4,by all means / certainly
世話,せわ,4,care / help
線,せん,4,line
ぜんぜん,ぜんぜん,4,not at all (with negative)
戦争,せんそう,4,war
先輩,せんぱい,4,senior / elder
そう,そう,4,so / like that / yes
相談,そうだん,4,consultation
育てる,そだてる,4,to raise / to bring up
卒業,そつぎょう,4,graduation
祖父,そふ,4,grandfather
ソフト,ソフト,4,soft
祖母,そぼ,4,grandmother
それで,それで,4,therefore / and then
それに,それに,4,besides / moreover
それほど,それほど,4,so much / to that extent
そろそろ,そろそろ,4,gradually / soon
そんな,そんな,4,such / that kind of
そんなに,そんなに,4,so / so much
退院,たいいん,4,discharge from hospital
大学生,だいがくせい,4,college student
大事,だいじ,4,important / precious
大体,だいたい,4,roughly / mostly
たいてい,たいてい,4,usually / generally
タイプ,タイプ,4,type
大分,だいぶ,4,considerably
台風,たいふう,4,typhoon
倒れる,たおれる,4,to fall / to collapse
だから,だから,4,therefore / so
確か,たしか,4,sure / certain
足す,たす,4,to add
訪ねる,たずねる,4,to visit / to call on
尋ねる,たずねる,4,to ask / to inquire
正しい,ただしい,4,correct / right
畳,たたみ,4,tatami mat
立てる,たてる,4,to stand / to set up
建てる,たてる,4,to build
例えば,たとえば,4,for example
棚,たな,4,shelf
楽しみ,たのしみ,4,enjoyment / pleasure
楽む,たのしむ,4,to enjoy
たまに,たまに,4,occasionally
為,ため,4,for the sake of / because
だめ,だめ,4,no good / useless
足りる,たりる,4,to be sufficient
男性,だんせい,4,male
暖房,だんぼう,4,heating
血,ち,4,blood
チェック,チェック,4,check
力,ちから,4,strength / power
ちっとも,ちっとも,4,not at all (with negative)
ちゃん,ちゃん,4,suffix for names (endearing)
注意,ちゅうい,4,attention / caution
中学校,ちゅうがっこう,4,junior high school
注射,ちゅうしゃ,4,injection
駐車場,ちゅうしゃじょう,4,parking lot
地理,ちり,4,geography
捕まえる,つかまえる,4,to catch / to seize
つき,つき,4,moon / month
付く,つく,4,to be attached / to follow
漬ける,つける,4,to pickle / to soak
都合,つごう,4,circumstances / convenience
伝える,つたえる,4,to convey / to report
続く,つづく,4,to continue
続ける,つづける,4,to continue (transitive)
包む,つつむ,4,to wrap
妻,つま,4,wife
つもり,つもり,4,intention / plan
釣る,つる,4,to fish / to angle
連れる,つれる,4,to bring / to take (someone)
丁寧,ていねい,4,polite / courteous
テキスト,テキスト,4,textbook
適当,てきとう,4,suitable / appropriate
できるだけ,できるだけ,4,as much as possible
手伝う,てつだう,4,to help / to assist
テニス,テニス,4,tennis
手袋,てぶくろ,4,gloves
寺,てら,4,Buddhist temple
点,てん,4,point / dot
店員,てんいん,4,clerk / shop assistant
天気予報,てんきよほう,4,weather forecast
電灯,でんとう,4,electric light
電報,でんぽう,4,telegram
展覧会,てんらんかい,4,exhibition
都,と,4,metropolis / capital
道具,どうぐ,4,tool / instrument
とうとう,とうとう,4,finally / eventually
動物園,どうぶつえん,4,zoo
遠く,とおく,4,far away / distance
通る,とおる,4,to go through / to pass
特に,とくに,4,especially
特別,とくべつ,4,special
とこや,とこや,4,barbershop
途中,とちゅう,4,on the way / midway
特急,とっきゅう,4,limited express (train)
届ける,とどける,4,to deliver
泊まる,とまる,4,to stay (overnight)
止める,とめる,4,to stop (transitive)
取り替える,とりかえる,4,to exchange / to replace
泥棒,どろぼう,4,thief
どんどん,どんどん,4,rapidly / continuously
直す,なおす,4,to fix / to cure
直る,なおる,4,to be fixed / to be cured
治る,なおる,4,to be cured / to heal
中々,なかなか,4,quite / very (also with negative: not easily)
泣く,なく,4,to cry
無くなる,なくなる,4,to be lost / to disappear
亡くなる,なくなる,4,to die
投げる,なげる,4,to throw
なさる,なさる,4,to do (honorific)
鳴る,なる,4,to ring / to sound
なるべく,なるべく,4,as far as possible
なるほど,なるほど,4,indeed / I see
慣れる,なれる,4,to get used to
におい,におい,4,smell / odor
苦い,にがい,4,bitter
二階建て,にかいだて,4,two-story building
逃げる,にげる,4,to escape
日記,にっき,4,diary
入院,にゅういん,4,hospitalization
入学,にゅうがく,4,school admission
似る,にる,4,to resemble
人形,にんぎょう,4,doll
盗む,ぬすむ,4,to steal
塗る,ぬる,4,to paint / to apply
ぬれる,ぬれる,4,to get wet
ねだん,ねだん,4,price
熱,ねつ,4,fever / heat
ねっしん,ねっしん,4,enthusiasm / zeal
寝坊,ねぼう,4,oversleeping
眠い,ねむい,4,sleepy
眠る,ねむる,4,to sleep
残る,のこる,4,to remain / to be left
のど,のど,4,throat
乗り換える,のりかえる,4,to transfer (trains)
乗り物,のりもの,4,vehicle
葉,は,4,leaf
場合,ばあい,4,case / situation
パート,パート,4,part-time
倍,ばい,4,double / times
拝見,はいけん,4,(humble) to see / to look
歯医者,はいしゃ,4,dentist
運ぶ,はこぶ,4,to carry / to transport
始める,はじめる,4,to begin (transitive)
場所,ばしょ,4,place / location
はず,はず,4,expectation / should be
恥ずかしい,はずかしい,4,embarrassed / shy
パソコン,パソコン,4,personal computer
発音,はつおん,4,pronunciation
はっきり,はっきり,4,clearly / distinctly
花見,はなみ,4,cherry blossom viewing
林,はやし,4,grove / forest
払う,はらう,4,to pay
番組,ばんぐみ,4,TV program
反対,はんたい,4,opposite / opposition
ハンドバッグ,ハンドバッグ,4,handbag
日,ひ,4,day / sun
火,ひ,4,fire
ピアノ,ピアノ,4,piano
冷える,ひえる,4,to grow cold
光,ひかり,4,light
光る,ひかる,4,to shine
引き出し,ひきだし,4,drawer
引き出す,ひきだす,4,to pull out
ひげ,ひげ,4,beard / mustache
飛行場,ひこうじょう,4,airport
久しぶり,ひさしぶり,4,after a long time
美術館,びじゅつかん,4,art museum
非常に,ひじょうに,4,extremely / very
びっくり,びっくり,4,to be surprised
引っ越す,ひっこす,4,to move (house)
必要,ひつよう,4,necessary
ひどい,ひどい,4,terrible / severe
開く,ひらく,4,to open
ビル,ビル,4,building
昼間,ひるま,4,daytime
昼休み,ひるやすみ,4,lunch break
拾う,ひろう,4,to pick up
ファックス,ファックス,4,fax
増える,ふえる,4,to increase
深い,ふかい,4,deep
複雑,ふくざつ,4,complex / complicated
復習,ふくしゅう,4,review (study)
部長,ぶちょう,4,section chief
普通,ふつう,4,normal / ordinary
ぶどう,ぶどう,4,grape
太る,ふとる,4,to become fat
布団,ふとん,4,futon / bedding
舟,ふね,4,boat / ship
不便,ふべん,4,inconvenient
踏む,ふむ,4,to step on
降り出す,ふりだす,4,to start raining
プレゼント,プレゼント,4,gift / present
文化,ぶんか,4,culture
文学,ぶんがく,4,literature
文法,ぶんぽう,4,grammar
別,べつ,4,separate / different
ベル,ベル,4,bell
変,へん,4,strange / odd
返事,へんじ,4,reply / answer
貿易,ぼうえき,4,trade / commerce
放送,ほうそう,4,broadcast
法律,ほうりつ,4,law
僕,ぼく,4,I (male)
星,ほし,4,star
ほど,ほど,4,degree / extent
ほとんど,ほとんど,4,almost / mostly
ほめる,ほめる,4,to praise
翻訳,ほんやく,4,translation
参る,まいる,4,to go / to come (humble)
負ける,まける,4,to lose (a game)
まじめ,まじめ,4,serious / diligent
まず,まず,4,first of all
または,または,4,or
間違える,まちがえる,4,to make a mistake
間に合う,まにあう,4,to be in time
周り,まわり,4,surroundings / circumference
回る,まわる,4,to go around
漫画,まんが,4,comic / manga
真中,まんなか,4,center / middle
見える,みえる,4,to be visible
湖,みずうみ,4,lake
味噌,みそ,4,miso (fermented soybean paste)
見つかる,みつかる,4,to be found
見つける,みつける,4,to find
皆,みな,4,everyone
港,みなと,4,port / harbor
向かう,むかう,4,to face / to go toward
迎える,むかえる,4,to welcome / to meet
昔,むかし,4,olden times / the past
虫,むし,4,insect / bug
息子,むすこ,4,son
娘,むすめ,4,daughter
無理,むり,4,impossible / unreasonable
召し上がる,めしあがる,4,to eat / to drink (honorific)
珍しい,めずらしい,4,rare / unusual
申し上げる,もうしあげる,4,to say / to state (humble)
申す,もうす,4,to say (humble)
もうすぐ,もうすぐ,4,very soon
もし,もし,4,if
もちろん,もちろん,4,of course
もっとも,もっとも,4,most / extremely
戻る,もどる,4,to return / to go back
木綿,もめん,4,cotton
もらう,もらう,4,to receive
森,もり,4,forest
焼く,やく,4,to bake / to burn
約束,やくそく,4,promise
役に立つ,やくにたつ,4,to be useful
焼ける,やける,4,to be baked / to burn
優しい,やさしい,4,kind / gentle
痩せる,やせる,4,to lose weight
やっと,やっと,4,finally / at last
やはり,やはり,4,also / as expected
やっぱり,やっぱり,4,also / as expected (coll.)
止む,やむ,4,to stop (rain etc.)
止める,やめる,4,to quit / to stop
柔らかい,やわらかい,4,soft / tender
湯,ゆ,4,hot water
輸出,ゆしゅつ,4,export
輸入,ゆにゅう,4,import
指,ゆび,4,finger / toe
指輪,ゆびわ,4,ring (jewelry)
夢,ゆめ,4,dream
揺れる,ゆれる,4,to shake / to sway
用,よう,4,use / business
用意,ようい,4,preparation
用事,ようじ,4,errand / business
汚れる,よごれる,4,to get dirty
予習,よしゅう,4,preparation (for a lesson)
予定,よてい,4,schedule / plan
予約,よやく,4,reservation
寄る,よる,4,to drop by / to visit
喜ぶ,よろこぶ,4,to be delighted
よろしい,よろしい,4,good / all right (polite)
理由,りゆう,4,reason
利用,りよう,4,use / utilization
両方,りょうほう,4,both sides / both
旅館,りょかん,4,Japanese inn
留守,るす,4,absence / away from home
冷房,れいぼう,4,air conditioning
歴史,れきし,4,history
レジ,レジ,4,cash register
レポート,レポート,4,report
リポート,リポート,4,report
連絡,れんらく,4,contact / communication
ワープロ,ワープロ,4,word processor
沸かす,わかす,4,to boil (water)
別れる,わかれる,4,to part / to separate
沸く,わく,4,to boil / to be excited
訳,わけ,4,meaning / reason
忘れ物,わすれもの,4,lost item
笑う,わらう,4,to laugh
割合,わりあい,4,percentage / proportion
割れる,われる,4,to break / to split
泳ぎ方,およぎかた,4,way of swimming
会う,あう,5,to meet
青,あお,5,blue
青い,あおい,5,blue
赤,あか,5,red
赤い,あかい,5,red
明い,あかるい,5,bright / light
秋,あき,5,autumn
開く,あく,5,to open (intransitive)
開ける,あける,5,to open (transitive)
上げる,あげる,5,to raise
朝,あさ,5,morning
朝御飯,あさごはん,5,breakfast
あさって,あさって,5,day after tomorrow
足,あし,5,foot / leg
明日,あした,5,tomorrow
あそこ,あそこ,5,over there
遊ぶ,あそぶ,5,to play
暖かい,あたたかい,5,warm
頭,あたま,5,head
新しい,あたらしい,5,new
あちら,あちら,5,that way / over there
暑い,あつい,5,hot (weather)
熱い,あつい,5,hot (to touch)
厚い,あつい,5,thick
あっち,あっち,5,that way (coll.)
後,あと,5,after / later / rear
あなた,あなた,5,you
兄,あに,5,older brother
姉,あね,5,older sister
あの,あの,5,that (over there)
アパート,アパート,5,apartment
あびる,あびる,5,to bathe / to shower
危ない,あぶない,5,dangerous
甘い,あまい,5,sweet
あまり,あまり,5,not very (with negative) / too much
雨,あめ,5,rain
飴,あめ,5,candy
洗う,あらう,5,to wash
ある,ある,5,to exist (inanimate) / to have
歩く,あるく,5,to walk
あれ,あれ,5,that over there
いい,いい,5,good
よい,よい,5,good
いいえ,いいえ,5,no
言う,いう,5,to say
家,いえ,5,house
いかが,いかが,5,how (polite)
行く,いく,5,to go
いくつ,いくつ,5,how many / how old
いくら,いくら,5,how much
池,いけ,5,pond
医者,いしゃ,5,doctor
いす,いす,5,chair
忙しい,いそがしい,5,busy
痛い,いたい,5,painful
一,いち,5,one
一日,いちにち,5,one day
いちばん,いちばん,5,number one / best
いつ,いつ,5,when
五日,いつか,5,fifth day / five days
一緒,いっしょ,5,together
五つ,いつつ,5,five (things)
いつも,いつも,5,always
犬,いぬ,5,dog
今,いま,5,now
意味,いみ,5,meaning
妹,いもうと,5,younger sister
嫌,いや,5,disagreeable / unpleasant
入口,いりぐち,5,entrance
居る,いる,5,to be (animate)
要る,いる,5,to need
入れる,いれる,5,to put in
色,いろ,5,color
いろいろ,いろいろ,5,various
上,うえ,5,above / top
後ろ,うしろ,5,back / behind
薄い,うすい,5,thin / pale
歌,うた,5,song
歌う,うたう,5,to sing
生まれる,うまれる,5,to be born
海,うみ,5,sea / ocean
売る,うる,5,to sell
煩い,うるさい,5,noisy / annoying
上着,うわぎ,5,jacket / coat
絵,え,5,picture / drawing
映画,えいが,5,movie
映画館,えいがかん,5,movie theater
英語,えいご,5,English language
ええ,ええ,5,yes (coll.)
駅,えき,5,station
エレベーター,エレベーター,5,elevator
鉛筆,えんぴつ,5,pencil
おいしい,おいしい,5,delicious
多い,おおい,5,many / much
大きい,おおきい,5,big / large
大きな,おおきな,5,big (attributive)
大勢,おおぜい,5,crowd / many people
お母さん,おかあさん,5,mother
お菓子,おかし,5,sweets / candy
お金,おかね,5,money
起きる,おきる,5,to wake up / to happen
置く,おく,5,to put / to place
奥さん,おくさん,5,wife (someone else's)
お酒,おさけ,5,sake / alcohol
お皿,おさら,5,plate / dish
伯父,おじいさん,5,grandfather (also 祖父)
叔父,おじいさん,5,grandfather
教える,おしえる,5,to teach / to tell
伯父,おじさん,5,uncle (older)
叔父,おじさん,5,uncle (younger)
押す,おす,5,to push
遅い,おそい,5,slow / late
お茶,おちゃ,5,tea
お手洗い,おてあらい,5,toilet / restroom
お父さん,おとうさん,5,father
弟,おとうと,5,younger brother
男,おとこ,5,man
男の子,おとこのこ,5,boy
一昨日,おととい,5,day before yesterday
一昨年,おととし,5,year before last
大人,おとな,5,adult
おなか,おなか,5,stomach
同じ,おなじ,5,same
お兄さん,おにいさん,5,older brother
お姉さん,おねえさん,5,older sister
おばあさん,おばあさん,5,grandmother
伯母さん,おばさん,5,aunt (older)
叔母さん,おばさん,5,aunt (younger)
お風呂,おふろ,5,bath
お弁当,おべんとう,5,boxed lunch
覚える,おぼえる,5,to memorize
おまわりさん,おまわりさん,5,police officer (coll.)
重い,おもい,5,heavy
おもしろい,おもしろい,5,interesting / funny
泳ぐ,およぐ,5,to swim
降りる,おりる,5,to get off / to descend
終る,おわる,5,to end / to finish
音楽,おんがく,5,music
女,おんな,5,woman
女の子,おんなのこ,5,girl
外国,がいこく,5,foreign country
外国人,がいこくじん,5,foreigner
会社,かいしゃ,5,company
階段,かいだん,5,stairs
買い物,かいもの,5,shopping
買う,かう,5,to buy
返す,かえす,5,to return (something)
帰る,かえる,5,to go back / to return
かかる,かかる,5,to take (time/money) / to hang
かぎ,かぎ,5,key
書く,かく,5,to write
学生,がくせい,5,student
かける,かける,5,to hang / to put on (glasses)
傘,かさ,5,umbrella
貸す,かす,5,to lend
風,かぜ,5,wind / cold (illness)
風邪,かぜ,5,cold (illness)
家族,かぞく,5,family
方,かた,5,way / person (polite)
学校,がっこう,5,school
カップ,カップ,5,cup
家庭,かてい,5,household / home
角,かど,5,corner
かばん,かばん,5,bag
花瓶,かびん,5,vase
紙,かみ,5,paper
カメラ,カメラ,5,camera
火曜日,かようび,5,Tuesday
辛い,からい,5,spicy / hot (taste)
体,からだ,5,body
借りる,かりる,5,to borrow
軽い,かるい,5,light (weight)
カレー,カレー,5,curry
カレンダー,カレンダー,5,calendar
川,かわ,5,river
河,かわ,5,river
かわいい,かわいい,5,cute / adorable
漢字,かんじ,5,Kanji (Chinese characters)
木,き,5,tree / wood
黄色,きいろ,5,yellow
黄色い,きいろい,5,yellow
消える,きえる,5,to disappear / to go out
聞く,きく,5,to listen / to ask
北,きた,5,north
ギター,ギター,5,guitar
汚い,きたない,5,dirty
喫茶店,きっさてん,5,coffee shop / cafe
切手,きって,5,postage stamp
切符,きっぷ,5,ticket
昨日,きのう,5,yesterday
九,きゅう,5,nine
九,く,5,nine
牛肉,ぎゅうにく,5,beef
牛乳,ぎゅうにゅう,5,milk
今日,きょう,5,today
教室,きょうしつ,5,classroom
兄弟,きょうだい,5,brothers and sisters
去年,きょねん,5,last year
嫌い,きらい,5,dislike / hatred
切る,きる,5,to cut
着る,きる,5,to wear
きれい,きれい,5,pretty / clean
キロ,キロ,5,kilo (kilogram/kilometer)
キログラム,キログラム,5,kilogram
キロメートル,キロメートル,5,kilometer
銀行,ぎんこう,5,bank
金曜日,きんようび,5,Friday
薬,くすり,5,medicine
ください,ください,5,please give me
果物,くだもの,5,fruit
口,くち,5,mouth
靴,くつ,5,shoes
靴下,くつした,5,socks
国,くに,5,country
曇り,くもり,5,cloudy weather
曇る,くもる,5,to become cloudy
暗い,くらい,5,dark
クラス,クラス,5,class (school)
グラム,グラム,5,gram
来る,くる,5,to come
車,くるま,5,car
黒,くろ,5,black
黒い,くろい,5,black
警官,けいかん,5,police officer
今朝,けさ,5,this morning
消す,けす,5,to erase / to turn off
結構,けっこう,5,fine / splendid / enough
結婚,けっこん,5,marriage
月曜日,げつようび,5,Monday
玄関,げんかん,5,entrance hall / front door
元気,げんき,5,healthy / energetic
五,ご,5,five
公園,こうえん,5,park
交差点,こうさてん,5,intersection
